"filename", "language", "Docker", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clustering\clustering.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clustering\clustering.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clustering\clustering.component.ts", "TypeScript", 0, 0, 0, 0, 206, 0, 0, 0, 0, 7, 213
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\competency\competency.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\competency\competency.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\competency\competency.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\competency\competency.component.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 11, 9, 95
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-assessment\course-assessment.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-assessment\course-assessment.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-assessment\course-assessment.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-assessment\course-assessment.component.ts", "TypeScript", 0, 0, 0, 0, 171, 0, 0, 0, 0, 8, 179
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-difficulty\course-difficulty.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-difficulty\course-difficulty.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-difficulty\course-difficulty.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\course-difficulty\course-difficulty.component.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 5, 80
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\curriculum-usage\curriculum-usage.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\curriculum-usage\curriculum-usage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\curriculum-usage\curriculum-usage.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\curriculum-usage\curriculum-usage.component.ts", "TypeScript", 0, 0, 0, 0, 145, 0, 0, 0, 0, 6, 151
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\discussion-quality\discussion-quality.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\discussion-quality\discussion-quality.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\discussion-quality\discussion-quality.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\discussion-quality\discussion-quality.component.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 9, 78
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\droppingout\droppingout.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\droppingout\droppingout.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
